vivae1,vivae2
-0.5151916,-0.71147406
-1.1349027,2.595308
1.1445757,1.9563097
-0.9571819,-0.9661654
2.0541973,-1.775314
-0.7050446,-0.5504047
-1.2078557,2.951456
-2.079053,-1.3688203
0.5175824,1.3750144
-1.3213655,-1.6399554
-0.46621984,1.1630913
-1.6241403,-1.5979574
-0.59557295,1.0852219
2.0694158,-2.4865105
-1.0442035,-0.75223124
1.3064893,0.5821279
1.5958849,-2.2198334
-1.6831772,-0.6590612
2.7187963,1.3324796
-0.5460208,-1.3927134
1.2034538,-1.112488
0.5813007,1.8996216
-1.0555116,-0.6185897
3.5461693,-0.3487726
0.85468477,0.10618532
-0.3129132,2.4297278
-0.54738194,-2.3313668
-0.6497664,-2.4968495
-1.9995711,-2.735291
1.3069888,-1.2821314
-0.6545152,1.2758719
2.1766949,-0.46062097
-0.53548247,2.9571366
-1.1886733,-1.9646044
-0.9005624,-3.232998
-1.0625224,1.1030718
-0.44230074,2.6272132
0.28714558,0.13066262
2.1085272,-0.063470036
-2.3881514,-2.59311
-0.96909255,1.1634376
-0.51090485,2.5715773
1.1612226,2.6943433
-1.8681005,1.1731837
-0.8852422,-1.4919056
2.402277,-3.245828
-0.246131,2.0953355
0.5801431,0.54551685
-0.8226262,-0.47399777
0.43816888,0.8110491
-1.2800084,1.3523096
0.6428095,0.025521278
-0.696029,1.8262882
0.5754258,-0.46081945
-1.1460394,0.909909
1.4849726,0.7983352
1.1786759,1.3704528
-1.6021129,-1.1627233
-1.0790014,2.6695273
0.88440794,1.8823606
-0.047756694,-1.2854161
-1.0067364,-2.4184623
-1.3311901,-1.8007693
-1.492656,-0.8755193
-1.0962727,-0.6379651
-1.7778168,-2.039125
2.5872056,1.1730224
0.5737578,1.0672431
-0.34011257,0.65564966
0.40099493,0.09285627
-0.8657634,1.1826721
0.38485315,-0.95940757
-1.5414565,0.8752744
1.7903234,-0.4908198
-2.437723,-2.233675
-0.058697768,-1.897627
-0.61695755,-0.7519276
0.7380795,0.80293274
