umap1,umap2
9.786199,-2.4150527
-1.9347405,0.9486326
4.7094073,1.5003788
-4.525093,4.998292
-1.807951,0.8060102
-0.508525,2.187277
-2.4731674,4.151385
-4.705023,4.1246305
-3.8647454,3.9657514
-0.45399365,1.1675413
-1.798007,-1.2108586
-1.0078963,1.1079495
-3.051864,0.38775495
14.144994,-2.7915072
13.452807,-3.7166011
9.905915,-1.9986857
-2.8094418,1.324097
2.1677084,10.164972
-5.2757406,4.4766083
9.265773,15.789783
12.830641,-2.9266775
-1.9095086,-7.771021
-7.152011,4.215282
9.059564,-2.2327542
10.854792,-2.241658
13.081728,-3.010604
-1.9836282,-8.456
-3.7959838,4.825291
6.252388,0.16217528
14.740344,-3.640954
-2.8509943,4.2089767
6.520991,-0.09041232
14.389927,-3.4869993
-3.8993027,5.06124
-2.914899,0.40472394
4.191154,2.134072
-2.8649704,4.4614534
-3.7646098,4.182002
-2.8267534,1.7499845
14.634586,-2.7239945
-1.864807,-8.083226
-2.674288,1.1494741
12.995018,-2.991107
14.930995,-3.1393976
14.460127,-3.462804
-0.5220279,2.282417
-1.7661345,-1.1677041
-1.5544698,2.172986
4.4168215,1.8452629
-4.4491243,5.52108
-2.2087102,1.2905813
-1.4461901,0.74229634
8.753881,-2.7518508
-1.9699504,1.6178011
4.6541533,1.5497477
-1.431335,-7.779111
9.467959,-2.6387126
-4.028701,4.3754253
-2.7905684,0.60521436
2.1885502,10.168884
-2.6850765,1.1298028
9.224746,-1.114961
8.729573,14.082077
-5.1043167,4.6112514
4.1813383,3.7450795
-3.1197155,4.218558
6.758141,3.8506606
-1.8380771,1.3851498
-4.906288,4.7136607
13.039392,-2.9063334
7.3287053,4.852445
-0.96248347,1.6611
13.14154,-2.8813558
9.192048,-2.041449
9.117871,16.045462
2.2327876,4.031344
8.444009,-1.6300342
8.319576,-2.2308466
-2.097698,-7.422238
1.2578193,3.9236429
4.9446526,12.215648
-2.1030827,1.2656536
-0.5981931,2.1509125
10.3298645,-1.8368353
-4.599939,5.1974125
-2.0659819,4.25847
2.19105,10.152248
-2.426901,0.3434725
-4.3306284,3.896335
8.935052,-0.9314685
8.825241,14.310258
-1.8720556,1.9527104
9.3066435,-0.7649856
4.197422,2.183421
14.650847,-3.6163156
3.9088027,4.0720325
-5.5758605,4.793547
-1.341935,4.1562953
8.812439,-2.4968052
6.092129,3.9157486
-2.6034298,0.16735932
13.41872,-3.362603
-4.346419,4.272748
13.280972,-2.5796542
-4.1224184,5.3706455
-1.8783841,1.4871472
3.267835,4.1843095
13.075053,-3.2129705
-5.27089,4.993227
4.2144775,2.09908
-5.2880735,4.248209
14.550649,-2.6313941
13.400959,-2.7389753
-1.7101266,1.5680844
-7.125737,4.2141986
14.299977,-2.565476
-0.50958514,2.1672
-4.6557975,4.260759
13.6383295,-2.1492383
-2.6779525,0.8968758
8.3143215,-1.7948105
14.077366,-3.2416465
-2.238207,-7.7748466
-1.6681306,1.2960371
-0.601951,2.1500661
-1.3398285,0.62500304
1.5346836,3.9737422
13.337246,-2.2998815
5.6095743,0.7539096
-2.4394758,1.0096112
-0.91472733,1.0643369
6.773927,-0.07316416
8.238812,-1.9550751
14.3322315,-3.0690665
7.1831317,-0.605236
-3.5145023,5.1372766
7.160957,-0.5009271
10.751766,-2.1409566
-3.3893485,4.0187707
-4.151133,4.8027954
-7.01307,4.197332
-4.3342037,4.768857
-2.6508365,1.38162
12.408686,-2.8101246
-5.633159,4.6321955
-3.0402806,4.511565
11.05661,-2.0861979
